cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.03199+-0.251129*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.08516+0.0844486*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.09517+-0.659724*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.11643+-0.774438*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.435604+1.13131*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.920258+0.148639*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.859738+0.250662*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.47011+-0.629857*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.24782+-0.349613*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "1.15654+-0.247413*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "9.27813+-8.79826*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-8.12956+9.27639*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "3.27577+-2.40342*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.0427+-1.15776*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.884898"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.22972"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "-0.575231+-1.99542*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.937346+0.184872*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "0.902076+0.114664*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.890952+0.0809879*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "0.913015+0.22023*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "0.920136+-0.309276*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "0.963061+-0.540863*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.914649+-0.40535*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.968179+-0.513886*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.995778+-0.560411*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "0.978485+-0.535465*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.08762+-0.673048*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.996011+-0.57049*x"
