CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "16.997+-16.2103*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.715903"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -15, 0, "1.21424"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0, 0.1356, "1.57674"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "1.94194+-2.69318*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.11687+-0.66548*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "0.703133+0.05644*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "0.827654+-0.139903*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "1.24117+-0.734551*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.39016+-0.931466*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "1.44633+-1.00015*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.85895, 0.88, "1.74305+-1.3456*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.88, 0.901, "1.69774+-1.2941*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.5631+-1.14467*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.922, 0.943, "0.893234+-0.418139*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.943, 0.95915, "1.38515+-0.939788*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.33561+-1.93073*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "2.34926+-1.9448*x"
